,pid,pname,pcategory,company,price,discount,discount_price,stock,discription,date
0,1,Samsung 9 Kg Front Load Fully Automatic Washing Machine,Washing_Machine,Samsung,42999.00,12.00,5160.00,15,"{""main"": {""description"": ""<p>\n                <b>Samsung 9 Kg Front Load Fully Automatic Washing Machine</b> with\n                <i>Eco Bubble Technology</i>,\n                <strong>Hygiene Steam</strong> and\n                <em>AI Control</em>.\n                Get powerful cleaning with\n                <del>high electricity consumption</del>\n                energy-efficient performance.\n            </p>\n            <p>\n                <b>Key Benefits:</b>\n                <ul>\n                    <li><b>9 Kg Capacity</b> for large families</li>\n                    <li><i>Digital Inverter Motor</i> for quiet operation</li>\n                    <li><strong>5 Star Energy Rating</strong></li>\n                    <li><del>Traditional Washing Technology</del> Advanced AI Wash System</li>\n                </ul>\n            </p>"", ""images"": [""samsung-wm-front.jpg"", ""samsung-wm-side.jpg"", ""samsung-wm-drum.jpg""]}}",2026-06-09 20:00:43
1,2,LG 260 Litres Double Door Refrigerator,Refrigerator,LG,28999.00,8.00,2320.00,20,"{""main"": {""description"": ""<h3><b>LG 260 Litres Double Door Refrigerator</b></h3>\n\n            <p>\n                Keep your food fresh for longer with the <strong>Smart Inverter Compressor</strong> and\n                <i>Door Cooling+ Technology</i>. Designed for modern homes, this refrigerator delivers\n                consistent cooling while saving energy.\n            </p>\n\n            <p>\n                <b>Special Features:</b>\n                <ul>\n                    <li><strong>260 Litres Capacity</strong> suitable for medium-sized families</li>\n                    <li><i>Multi Air Flow Cooling</i> for uniform temperature distribution</li>\n                    <li><strong>Toughened Glass Shelves</strong> with heavy load support</li>\n                    <li><del>Conventional Compressor</del> Smart Inverter Compressor</li>\n                </ul>\n            </p>\n\n            <p>\n                Enjoy quieter operation, enhanced freshness and lower electricity bills throughout the year.\n            </p>"", ""images"": [""lg-fridge-front.jpg"", ""lg-fridge-open.jpg"", ""lg-fridge-interior.jpg""]}}",2026-06-09 20:07:24
2,3,Sony 55 Inch 4K Ultra HD Smart Google TV,Television,Sony,64999.00,15.00,9750.00,12,"{""main"": {""description"": ""<h3><b>Sony 55 Inch 4K Ultra HD Smart Google TV</b></h3>\n\n            <p>\n                Experience stunning visuals with <strong>4K Ultra HD Resolution</strong>,\n                <i>Dolby Vision</i> and powerful <strong>XR Processor</strong> technology.\n            </p>\n\n            <p>\n                <b>Entertainment Highlights:</b>\n                <ul>\n                    <li><strong>Google TV</strong> with thousands of apps</li>\n                    <li><i>Dolby Atmos Audio</i> for immersive sound</li>\n                    <li><strong>Voice Search Support</strong> via Google Assistant</li>\n                    <li><del>Standard HD Viewing</del> Crystal Clear 4K Viewing Experience</li>\n                </ul>\n            </p>\n\n            <p>\n                Stream movies, sports and games with exceptional clarity and lifelike colors.\n            </p>"", ""images"": [""sony-tv-front.jpg"", ""sony-tv-side.jpg"", ""sony-tv-ui.jpg"", ""sony-tv-remote.jpg""]}}",2026-06-09 20:08:03
3,4,Whirlpool 265 Litres 4 Star Inverter Frost Free Double Door Refrigerator,Refrigerator,Whirlpool,31999.00,12.00,3840.00,10,"{""main"": {""description"": ""<h3><b>Whirlpool 265L 4 Star Inverter Frost Free Double Door Refrigerator</b></h3>\n\n            <p>\n                Featuring <strong>6th Sense Intellifresh</strong> technology and <i>Adaptive Cooling</i>, this fridge keeps your fruits and vegetables fresh for longer.\n            </p>\n\n            <ul>\n                <li><strong>265 Litres Capacity</strong> for small to medium families</li>\n                <li><i>Frost Free</i> for hassle-free maintenance</li>\n                <li><strong>Inverter Compressor</strong> for energy saving and durability</li>\n                <li><del>Traditional Refrigerators</del> Smart Fresh Technology</li>\n            </ul>\n\n            <p>\n                Maintain perfect temperature and humidity levels automatically for longer freshness.\n            </p>"", ""images"": [""whirlpool-fridge-front.jpg"", ""whirlpool-fridge-open.jpg"", ""whirlpool-fridge-shelves.jpg""]}}",2026-06-09 21:04:49
4,5,LG 8 Kg Front Load Fully Automatic Washing Machine,Washing_Machine,LG,34111.00,10.00,3499.00,8,"{
        ""main"": {
            ""description"": ""<p>LG 8 Kg Front Load Fully Automatic Washing Machine with Inverter Direct Drive Technology, Steam Wash and Smart Diagnosis.</p>"",
            ""images"": [
                ""lg-wm-front.jpg"",
                ""lg-wm-side.jpg"",
                ""lg-wm-control-panel.jpg""
            ]
        },
        ""attributes"": [
            {
                ""name"": ""Capacity"",
                ""description"": ""8 Kg"",
                ""image"": ""capacity-icon.jpg""
            },
            {
                ""name"": ""Energy Rating"",
                ""description"": ""5 Star"",
                ""image"": ""energy-rating.jpg""
            },
            {
                ""name"": ""Warranty"",
                ""description"": ""2 Years Comprehensive + 10 Years Motor Warranty"",
                ""image"": ""warranty.jpg""
            }
        ]
    }",2026-05-21 07:06:21
5,6,TCL 55 Inch QLED 4K Smart Android TV,Television,TCL,43999.00,18.00,7920.00,20,"{""main"": {""description"": ""<h3><b>TCL 55 Inch QLED 4K Smart Android TV</b></h3>\n\n            <p>\n                Bring home stunning brightness with <strong>QLED Quantum Dot Technology</strong> and\n                <i>Android TV experience</i> for unlimited entertainment apps.\n            </p>\n\n            <p>\n                A perfect blend of performance, design, and smart features at an affordable price.\n            </p>\n\n            <ul>\n                <li><strong>QLED 4K Display</strong> for vivid colors</li>\n                <li><i>Android TV</i> with Google Assistant</li>\n                <li><strong>Dolby Vision & Atmos</strong> support</li>\n                <li><del>Basic LED TV</del> Next-gen QLED viewing</li>\n            </ul>"", ""images"": [""tcl-tv-front.jpg"", ""tcl-tv-wall.jpg"", ""tcl-tv-ui.jpg""]}}",2026-06-09 21:12:01
6,7,Bosch 7 Kg Front Load Fully Automatic Washing Machine,Washing_Machine,Bosch,32499.00,9.00,2925.00,10,"{""main"": {""description"": ""<h3><b>Bosch 7 Kg Front Load Fully Automatic Washing Machine</b></h3>\n\n            <p>\n                Built with <strong>EcoSilence Drive</strong> and <i>Anti-Vibration Design</i>\n                for long-lasting performance and quiet operation.\n            </p>\n\n            <ul>\n                <li><strong>7 Kg Capacity</strong> suitable for small families</li>\n                <li><i>SpeedPerfect Technology</i> reduces wash time</li>\n                <li><strong>Multiple Wash Programs</strong> for different fabrics</li>\n                <li><del>High Noise Operation</del> Ultra Quiet Performance</li>\n            </ul>\n\n            <p>\n                Get outstanding cleaning results while saving water and electricity.\n            </p>"", ""images"": [""bosch-wm-front.jpg"", ""bosch-wm-drum.jpg"", ""bosch-wm-display.jpg""]}}",2026-06-09 20:58:09
7,8,Whirlpool 7.5 Kg Top Load Fully Automatic Washing Machine,Washing_Machine,Whirlpool,21999.00,11.00,2420.00,18,"{""main"": {""description"": ""<h3><b>Whirlpool 7.5 Kg Top Load Fully Automatic Washing Machine</b></h3>\n\n            <p>\n                Equipped with <strong>6th Sense Smart Sensors</strong> and\n                <i>Hard Water Wash Technology</i> for superior cleaning performance.\n            </p>\n\n            <ul>\n                <li><strong>7.5 Kg Capacity</strong> perfect for daily household needs</li>\n                <li><i>Hard Water Wash</i> improves detergent performance</li>\n                <li><strong>ZPF Technology</strong> fills water even at low pressure</li>\n                <li><del>Basic Wash Cycles</del> Smart Sensor-Based Washing</li>\n            </ul>\n\n            <p>\n                Designed to provide effective cleaning while protecting your clothes from damage.\n            </p>"", ""images"": [""whirlpool-wm-front.jpg"", ""whirlpool-wm-top.jpg"", ""whirlpool-wm-panel.jpg""]}}",2026-06-09 20:59:03
8,9,IFB 8 Kg Front Load Fully Automatic Washing Machine,Washing_Machine,IFB,35999.00,10.00,3600.00,9,"{""main"": {""description"": ""<h3><b>IFB 8 Kg Front Load Fully Automatic Washing Machine</b></h3>\n\n            <p>\n                Featuring <strong>Cradle Wash</strong> and <i>Ball Valve Technology</i>,\n                this washing machine ensures gentle care for delicate fabrics while removing tough stains.\n            </p>\n\n            <ul>\n                <li><strong>8 Kg Capacity</strong> suitable for medium to large families</li>\n                <li><i>8 Wash Programs</i> for different fabric types</li>\n                <li><strong>Energy Efficient Motor</strong> saves electricity</li>\n                <li><del>Manual Washing</del> Automated Smart Wash</li>\n            </ul>\n\n            <p>\n                Get sparkling clean clothes every time with minimal noise and vibration.\n            </p>"", ""images"": [""ifb-wm-front.jpg"", ""ifb-wm-drum.jpg"", ""ifb-wm-panel.jpg""]}}",2026-06-09 21:00:30
9,10,Godrej 235 Litres 3 Star Direct Cool Single Door Refrigerator,Refrigerator,Godrej,15999.00,8.00,1280.00,25,"{""main"": {""description"": ""<h3><b>Godrej 235L 3 Star Direct Cool Single Door Refrigerator</b></h3>\n\n            <p>\n                With <strong>Intelli Fresh Technology</strong> and <i>Humidity Control</i>, preserve your food items effectively.\n            </p>\n\n            <ul>\n                <li><strong>235 Litres Capacity</strong> ideal for small families</li>\n                <li><i>Direct Cool Technology</i> saves electricity</li>\n                <li><strong>Stabilizer Free Operation</strong> protects from voltage fluctuations</li>\n                <li><del>Old Single Door Fridge</del> Modern Direct Cool Efficiency</li>\n            </ul>\n\n            <p>\n                Compact yet efficient, designed for small kitchen spaces with better cooling performance.\n            </p>"", ""images"": [""godrej-fridge-front.jpg"", ""godrej-fridge-open.jpg"", ""godrej-fridge-shelves.jpg""]}}",2026-06-09 21:05:25
